all genes,,,,,,,,,,,,,,,,,,,
BAC screening 1,,,,,,,,,,,,,,,,,,,
Sample ()*,input pool 1,,output pool 1,,input pool 2,,output pool 2,,input pool 3,,output pool 3,,,,,,,,
A_07_P001109,1,1153.044,1.1795281,1138.675,1,1326.663,1.0032473,1057.609,0.99999994,1045.417,1.1592777,1122.343,2-oxoglutarate decarboxylase; SHCHC synthase [b2264],menD,bifunctional 2-oxoglutarate decarboxylase/ SHCHC synthase,GO:0009061(anaerobic respiration),chr:2375777-2375718,946720,b2264
A_07_P001112,1,2111.919,0.99400645,1757.568,1,2064.46,1.0478052,1718.872,1,1443.557,1.0053833,1344.046,"isochorismate hydroxymutase 2, menaquinone biosynthesis [b2265]",menF,isochorismate synthase 2,GO:0009061(anaerobic respiration),chr:2378010-2377951,946712,b2265
A_07_P001117,1,2455.386,1.1368259,2337.004,0.99999994,2690.748,1.0190119,2178.757,1,2126.369,0.9891083,1947.74,"orf, hypothetical protein [b2266]",elaB,conserved protein,,chr:2378920-2378861,946751,b2266
A_07_P001124,1,1443.965,1.0674882,1290.522,1,1597.179,0.97041094,1231.589,1,1183.253,1.1685016,1280.429,"orf, hypothetical protein [b2267]",elaA,predicted acyltransferase with acyl-CoA N-acyltransferase domain,,chr:2379206-2379147,946750,b2267
A_07_P001130,1,3713.407,1.1129305,3460.081,1,3863.192,1.1516103,3535.154,1,3170.345,1.004643,2949.625,"orf, hypothetical protein [b2268]",rbn,binuclear zinc phosphodiesterase,,chr:2380071-2380130,946760,b2268
A_07_P001133,1,3713.781,1.0772251,3349.411,1,4192.599,1.0425508,3473.258,0.99999994,3325.287,0.97052234,2988.706,putative sulfatase / phosphatase [b2269],elaD,predicted enzyme,,chr:2381717-2381776,946742,b2269
A_07_P001140,0.99999994,5145.265,1.1221628,4834.03,1,5024.105,1.166433,4656.665,0.99999994,4453.377,1.0706265,4415.46,"orf, hypothetical protein [b2270]",yfbK,conserved protein,,chr:2382359-2382300,946743,b2270
A_07_P001142,1,4161.367,1.0283271,3582.721,1,4344.573,1.1237416,3879.45,1,3835.841,0.8783049,3119.999,putative aminopeptidase [b2271],yfbL,predicted peptidase,,chr:2384769-2384828,945832,b2271
A_07_P001148,1,1971.373,0.9169092,1513.355,1,1770.323,1.1114352,1563.483,1,1484.893,0.9576071,1316.834,"orf, hypothetical protein [b2272]",yfbM,predicted protein,,chr:2385342-2385401,946745,b2272
A_07_P001151,1,5809.393,1.0931927,5317.079,1,5979.392,1.1350889,5393.162,1,5563.245,0.95226294,4906.069,"orf, hypothetical protein [b2273]",yfbN,predicted protein,,chr:2386126-2386067,946748,b2273
A_07_P001158,1,4944.094,1.0003779,4140.917,1,4596.898,1.0956868,4002.283,1,3916.998,1.0152107,3682.63,"orf, hypothetical protein [b2274]",yfbO,predicted protein,,chr:2386892-2386951,946752,b2274
A_07_P001161,1,4512.03,1.2173712,4598.759,1,4853.284,1.1200438,4319.438,1,3951.48,1.1482913,4202.042,"orf, hypothetical protein [b2275]",yfbP,predicted protein,,chr:2387924-2387983,946754,b2275
A_07_P001166,1,1356.728,1.1040784,1254.118,1,1645.643,0.9854986,1288.689,1,1345.131,1.0042925,1251.046,NADH dehydrogenase I chain N [b2276],nuoN,"NADH:ubiquinone oxidoreductase, membrane subunit N",GO:0009053(electron donor activity)|GO:0009060(aerobic respiration)|GO:0009061(anaerobic respiration)|GO:0009274(peptidoglycan-based cell wall)|GO:0019866(organelle inner membrane),chr:2388652-2388593,945136,b2276
A_07_P001174,1,3110.242,0.9156123,2384.248,1,3032.134,1.0355328,2494.99,1,2351.489,1.1115345,2420.552,NADH dehydrogenase I chain M [b2277],nuoM,"NADH:ubiquinone oxidoreductase, membrane subunit M",GO:0009053(electron donor activity)|GO:0009060(aerobic respiration)|GO:0009061(anaerobic respiration)|GO:0009274(peptidoglycan-based cell wall)|GO:0019866(organelle inner membrane),chr:2389815-2389756,947731,b2277
A_07_P001178,1,2860.19,0.9701869,2323.25,1,2966.629,1.0439105,2460.838,1,2347.849,1.0271333,2233.292,NADH dehydrogenase I chain L [b2278],nuoL,"NADH:ubiquinone oxidoreductase, membrane subunit L",GO:0009053(electron donor activity)|GO:0009060(aerobic respiration)|GO:0009061(anaerobic respiration)|GO:0009274(peptidoglycan-based cell wall)|GO:0019866(organelle inner membrane),chr:2391797-2391738,945540,b2278
A_07_P001181,1,1929.734,1.0588646,1710.738,1,2097.933,1.0384595,1731.162,1,1771.238,1.0153952,1665.561,NADH dehydrogenase I chain K [b2279],nuoK,"NADH:ubiquinone oxidoreductase, membrane subunit K",GO:0009053(electron donor activity)|GO:0009060(aerobic respiration)|GO:0009061(anaerobic respiration)|GO:0009274(peptidoglycan-based cell wall)|GO:0019866(organelle inner membrane),chr:2393301-2393242,947580,b2279
A_07_P013686,1,3077.275,1.0347346,2665.882,0.99999994,3407.28,1.0414698,2819.753,1,2828.43,1.0507864,2752.38,NADH dehydrogenase I chain J [b2280],nuoJ,"NADH:ubiquinone oxidoreductase, membrane subunit J",GO:0009053(electron donor activity)|GO:0009060(aerobic respiration)|GO:0009061(anaerobic respiration)|GO:0009274(peptidoglycan-based cell wall)|GO:0019866(organelle inner membrane),chr:2393906-2393847,946756,b2280
A_07_P013694,0.99999994,2707.409,1.0346757,2345.329,1,2870.632,1.069497,2439.572,1,2372.934,1.0228134,2247.66,NADH dehydrogenase I chain I [b2281],nuoI,"NADH:ubiquinone oxidoreductase, chain I",GO:0005737(cytoplasm)|GO:0009053(electron donor activity)|GO:0009060(aerobic respiration)|GO:0009061(anaerobic respiration),chr:2394466-2394407,946757,b2281
A_07_P013700,1,2509.313,0.95500004,2006.337,1,2565.328,1.002399,2043.337,1,1969.491,1.1651821,2125.183,NADH dehydrogenase I chain H [b2282],nuoH,"NADH:ubiquinone oxidoreductase, membrane subunit H",GO:0009053(electron donor activity)|GO:0009060(aerobic respiration)|GO:0009061(anaerobic respiration)|GO:0009274(peptidoglycan-based cell wall)|GO:0019866(organelle inner membrane),chr:2394665-2394606,946761,b2282
A_07_P013701,0.99999994,1776.234,1.0582404,1573.73,1,1919.424,0.9959696,1519.055,0.99999994,1706.098,1.037976,1639.985,NADH dehydrogenase I chain G [b2283],nuoG,"NADH:ubiquinone oxidoreductase, chain G",GO:0005737(cytoplasm)|GO:0009053(electron donor activity)|GO:0009060(aerobic respiration)|GO:0009061(anaerobic respiration),chr:2396300-2396241,946762,b2283
A_07_P013708,1,1324.176,1.0451902,1158.742,1,1457.781,1.0133427,1173.83,1,1109.961,1.0731096,1103.063,NADH dehydrogenase I chain F [b2284],nuoF,"NADH:ubiquinone oxidoreductase, chain F",GO:0005737(cytoplasm)|GO:0009053(electron donor activity)|GO:0009060(aerobic respiration)|GO:0009061(anaerobic respiration),chr:2398326-2398267,946753,b2284
A_07_P013712,1,1731.907,0.98677355,1430.829,1,1820.683,1.020517,1476.424,1,1529.767,1.0164915,1440.05,NADH dehydrogenase I chain E [b2285],nuoE,"NADH:ubiquinone oxidoreductase, chain E",GO:0005737(cytoplasm)|GO:0009053(electron donor activity)|GO:0009060(aerobic respiration)|GO:0009061(anaerobic respiration),chr:2399815-2399756,946746,b2285
A_07_P013718,1,3621.85,1.0408585,3156.224,1,3896.57,1.0849153,3359.192,1,3449.997,0.97397053,3111.81,"NADH dehydrogenase I chain C, D [b2286]",nuoC,"NADH:ubiquinone oxidoreductase, chain C,D",GO:0005737(cytoplasm)|GO:0009053(electron donor activity)|GO:0009060(aerobic respiration)|GO:0009061(anaerobic respiration),chr:2400137-2400078,946759,b2286
A_07_P013721,1,4765.399,1.0327048,4120.227,1,4803.824,1.0352383,3951.7,1,4341.661,1.0978322,4414.082,NADH dehydrogenase I chain B [b2287],nuoB,"NADH:ubiquinone oxidoreductase, chain B",GO:0005737(cytoplasm)|GO:0009053(electron donor activity)|GO:0009060(aerobic respiration)|GO:0009061(anaerobic respiration),chr:2402232-2402173,946738,b2287
A_07_P013728,1,3847.122,1.1297998,3639.009,1,4157.224,1.0296017,3401.177,1,2839,1.216053,3197.175,NADH dehydrogenase I chain A [b2288],nuoA,"NADH:ubiquinone oxidoreductase, membrane subunit A",GO:0009053(electron donor activity)|GO:0009060(aerobic respiration)|GO:0009061(anaerobic respiration)|GO:0009274(peptidoglycan-based cell wall)|GO:0019866(organelle inner membrane),chr:2402791-2402732,946764,b2288
A_07_P013734,1,4926.328,1.16525,4806.048,1,5582.696,1.0308374,4572.889,1,4656.655,1.315128,5671.404,"NADH dehydrogenase transcriptional regulator, LysR family [b2289]",lrhA,"DNA-binding transcriptional repressor of flagellar, motility and chemotaxis genes",GO:0005737(cytoplasm)|GO:0006350(transcription)|GO:0009060(aerobic respiration)|GO:0016564(transcription repressor activity),chr:2403877-2403818,946769,b2289
A_07_P013738,1,2046.1096,1.1285713,1933.3192,1,2406.7373,0.96051484,1836.9159,1,1770.133,1.2779429,2094.9124,putative aminotransferase [b2290],yfbQ,predicted aminotransferase,,chr:2406577-2406636,946772,b2290
A_07_P013744,1,2998.915,1.0495231,2635.129,1,3022.243,1.0558958,2535.753,1,2388.649,1.1849711,2621.251,putative alpha helix protein [b2291],yfbR,deoxyribonucleoside 5'-monophosphatase,,chr:2407412-2407471,946771,b2291
A_07_P013750,1,2273.86,1.1384228,2167.27,1,2558.646,0.9946588,2022.278,1,2114.326,1.0503305,2056.584,putative transport protein [b2292],yfbS,predicted transporter,,chr:2407642-2407583,946766,b2292
A_07_P013752,1,2224.386,0.98916817,1842.154,1,2093.615,0.9795278,1629.559,1,1640.819,1.1064575,1681.295,putative phosphatase [b2293],yfbT,predicted hydrolase or phosphatase,,chr:2409520-2409461,946777,b2293
A_07_P013758,0.99999994,2377.062,0.912237,1815.49,1,2106.419,1.0197306,1706.816,1,1721.274,1.2918811,2059.307,"orf, hypothetical protein [b2294]",yfbU,conserved protein,,chr:2410425-2410366,946767,b2294
A_07_P013765,1,1724.901,1.1328762,1636.034,1,2007.575,1.0222898,1630.806,1,1612.779,1.1417527,1705.279,"orf, hypothetical protein [b2295]",yfbV,conserved inner membrane protein,,chr:2410761-2410702,946774,b2295
A_07_P013766,1,5210.989,1.0427368,4549.257,1,4834.721,1.0279771,3949.221,1,3576.354,1.1365616,3764.281,acetate kinase [b2296],ackA,acetate kinase A and propionate kinase 2,GO:0005737(cytoplasm)|GO:0009063(amino acid catabolic process)|GO:0016052(carbohydrate catabolic process)|GO:0042867(pyruvate catabolic process)|GO:0045733(acetate catabolic process),chr:2411784-2411843,946775,b2296
A_07_P013771,1,1414.691,1.0664102,1263.082,1,1582.377,0.951854,1196.842,1,1220.919,1.2028221,1359.993,phosphotransacetylase [b2297],pta,phosphate acetyltransferase,GO:0009063(amino acid catabolic process)|GO:0016052(carbohydrate catabolic process)|GO:0042867(pyruvate catabolic process)|GO:0045733(acetate catabolic process),chr:2413845-2413904,946778,b2297
A_07_P013776,1,1712.964,1.0643401,1526.421,1,1908.475,0.8872254,1345.479,1,1448.501,1.1854069,1590.138,putative S-transferase [b2298],yfcC,predicted inner membrane protein,GO:0009274(peptidoglycan-based cell wall),chr:2415539-2415598,946780,b2298
A_07_P013782,0.99999994,2360.01,1.0442501,2063.308,1,2548.656,0.9406562,1905.016,1,2137.926,1.0462426,2071.446,putative regulator [b2299],yfcD,predicted NUDIX hydrolase,,chr:2417184-2417125,946783,b2299
A_07_P013789,1,1359.021,1.0374467,1180.423,1,1468.887,0.9698389,1131.995,1,1332.457,1.0605116,1308.631,"orf, hypothetical protein [b2300]",yfcE,predicted phosphatase,,chr:2417322-2417263,946755,b2300
A_07_P013791,1,4666.463,1.0996658,4296.296,1,4898.029,0.97228944,3784.194,1,3998.685,1.1340989,4199.684,"orf, hypothetical protein [b2301]",yfcF,predicted enzyme,,chr:2418041-2417982,946749,b2301
A_07_P013800,1,2692.555,1.024455,2309.421,1,2775.457,1.0376048,2288.353,1,2165.526,1.3480543,2703.456,putative S-transferase [b2302],yfcG,predicted glutathione S-transferase,,chr:2419010-2419069,946763,b2302
A_07_P013803,1,2866.967,0.97055274,2329.633,0.99999994,2898.812,0.93676794,2157.787,1,2295.988,1.0873042,2311.901,"D-erythro-7,8-dihydroneopterin tri P epimerase [b2303]",folX,"D-erythro-7,8-dihydroneopterin triphosphate 2'-epimerase and dihydroneopterin aldolase",,chr:2419560-2419619,946781,b2303
A_07_P013807,1,5974.367,1.0957391,5480.81,1,6013.895,1.1177915,5341.622,1,5968.463,1.0174477,5623.712,putative sugar nucleotide epimerase [b2304],yfcH,conserved protein with NAD(P)-binding Rossmann-fold domain,,chr:2420312-2420371,946784,b2304
A_07_P013815,1,5225.603,1.1260133,4926.354,1,5226.845,1.1094797,4608.032,1,4612.417,1.0621133,4536.782,"orf, hypothetical protein [b2305]",yfcI,conserved protein,,chr:2420738-2420679,946787,b2305
A_07_P013816,1,1101.82,1.1200249,1033.199,1,1217.178,1.0791601,1043.75,1,1013.553,1.1434407,1073.269,ATP-binding component of histidine transport [b2306],hisP,histidine/lysine/arginine/ornithine transporter subunit,GO:0000105(histidine biosynthetic process)|GO:0005737(cytoplasm)|GO:0006526(arginine biosynthetic process)|GO:0009063(amino acid catabolic process)|GO:0009089(lysine biosynthetic process via diaminopimelate),chr:2421891-2421832,946789,b2306
A_07_P013822,1,2052.311,1.0932398,1878.47,1,2339.818,1.0008028,1860.746,1,1808.728,1.3301733,2228.076,"histidine transport, membrane protein M [b2307]",hisM,histidine/lysine/arginine/ornithine transporter subunit,GO:0006526(arginine biosynthetic process)|GO:0009089(lysine biosynthetic process via diaminopimelate)|GO:0009274(peptidoglycan-based cell wall)|GO:0019866(organelle inner membrane),chr:2422860-2422801,946790,b2307
A_07_P013826,1,5839.812,1.0206232,4990.109,0.99999994,5724.432,1.0353754,4709.63,1,4639.205,1.220652,5244.257,histidine transport system permease protein [b2308],hisQ,histidine/lysine/arginine/ornithine transporter subunit,GO:0006526(arginine biosynthetic process)|GO:0009089(lysine biosynthetic process via diaminopimelate)|GO:0009274(peptidoglycan-based cell wall)|GO:0019866(organelle inner membrane),chr:2423653-2423594,947235,b2308
A_07_P013834,1,1823.796,1.052099,1606.492,1,1860.639,1.0940169,1617.494,1,1617.689,1.1419032,1710.696,histidine-binding periplasmic protein of high-affinity histidine transport system [b2309],hisJ,histidine/lysine/arginine/ornithine transporter subunit,GO:0000105(histidine biosynthetic process)|GO:0042597(periplasmic space),chr:2424100-2424041,945309,b2309
A_07_P013840,1,1631.838,1.0372124,1417.067,1,1637.513,1.0542191,1371.741,1,1448.744,1.0102471,1355.401,"lysine-, arginine-, ornithine-binding periplasmic protein [b2310]",argT,lysine/arginine/ornithine transporter subunit,GO:0006526(arginine biosynthetic process)|GO:0009089(lysine biosynthetic process via diaminopimelate)|GO:0015597(histidine/arginine/lysine/ornithine porter activity)|GO:0042597(periplasmic space),chr:2425202-2425143,949030,b2310
A_07_P013842,1,4644.54,1.0173308,3955.948,1,4559.493,1.0673542,3867.067,1,3613.05,1.1762483,3935.696,3-octaprenyl-4-hydroxybenzoate carboxy-lyase [b2311],ubiX,3-octaprenyl-4-hydroxybenzoate carboxy-lyase,GO:0009060(aerobic respiration),chr:2426158-2426099,949033,b2311
A_07_P013849,0.99999994,2602.017,1.1089972,2415.941,1,2903.384,0.9961886,2298.278,1,2464.235,1.1351627,2590.531,amidophosphoribosyltransferase = PRPP amidotransferase [b2312],purF,amidophosphoribosyltransferase,GO:0005737(cytoplasm)|GO:0006164(purine nucleotide biosynthetic process),chr:2426862-2426803,946794,b2312
A_07_P013855,1,3591.01,1.076593,3236.785,0.99999994,3696.356,1.0122913,2973.28,1,2915.061,1.214184,3277.787,membrane protein required for colicin V production [b2313],cvpA,membrane protein required for colicin V production,GO:0009274(peptidoglycan-based cell wall)|GO:0019866(organelle inner membrane),chr:2428405-2428346,945055,b2313
A_07_P013857,1,2745.115,1.1104404,2552.122,1,2867.597,1.0155189,2313.996,1,2503.221,0.9778832,2266.912,putative lipoprotein [b2314],dedD,conserved protein,,chr:2429277-2429218,944971,b2314
A_07_P013863,1,2369.991,1.0466591,2076.814,1,2509.971,0.9982895,1991.048,1,2289.506,0.8264393,1752.271,dihydrofolate:folylpolyglutamate synthetase; dihydrofolate synthetase [b2315],folC,bifunctional folylpolyglutamate synthase/ dihydrofolate synthase,GO:0046656(folic acid biosynthetic process),chr:2429972-2429913,945451,b2315
A_07_P013869,1,2790.846,1.0757016,2513.468,0.99999994,2891.82,0.9922744,2280.13,1,2454.993,1.0685889,2429.458,"acetylCoA carboxylase, carboxytransferase component, beta subunit [b2316]",accD,"acetyl-CoA carboxylase, beta (carboxyltranferase) subunit",GO:0005737(cytoplasm),chr:2431702-2431643,946796,b2316
A_07_P013874,1,2067.129,0.98232126,1700.07,1,2123.189,1.0110093,1705.691,1,1754.683,1.1026273,1791.744,"orf, hypothetical protein [b2317]",dedA,conserved inner membrane protein,GO:0009274(peptidoglycan-based cell wall),chr:2432255-2432196,946798,b2317
A_07_P013879,1,4041.144,1.0962826,3709.134,0.99999994,3912.906,1.0936797,3400.526,0.99999994,3597.449,1.0837713,3610.612,pseudouridylate synthase I [b2318],truA,pseudouridylate synthase I,GO:0005737(cytoplasm)|GO:0006418(tRNA aminoacylation for protein translation),chr:2433078-2433019,946793,b2318
A_07_P013884,1,2739.219,1.0329071,2368.829,1,2562.081,1.0603724,2158.777,1,2240.888,1.0788344,2238.842,putative PTS system enzyme II A component [b2319],usg,predicted semialdehyde dehydrogenase,,chr:2433875-2433816,946797,b2319
A_07_P013888,0.99999994,1402.768,1.1697905,1373.851,1,1662.384,0.9151374,1208.855,1,1337.908,1.1405172,1413.112,erythronate-4-phosphate dehyrogenase [b2320],pdxB,erythronate-4-phosphate dehydrogenase,GO:0008615(pyridoxine biosynthetic process),chr:2434854-2434795,946785,b2320
A_07_P013891,1,2291.45,0.9116513,1748.98,0.99999994,2101.994,0.963324,1609.016,1,1771.482,1.114548,1828.454,cell division protein [b2321],flk,predicted flagella assembly protein,,chr:2436792-2436851,946776,b2321
A_07_P013896,1,2792.733,1.0848159,2536.478,1,2900.16,0.9851955,2270.392,1,2437.064,1.1419369,2577.256,putative transport protein [b2322],yfcJ,predicted transporter,GO:0009274(peptidoglycan-based cell wall)|GO:0019866(organelle inner membrane),chr:2437463-2437404,946791,b2322
A_07_P013901,1,3295.578,1.0186808,2810.706,1,3447.097,0.98023254,2684.968,1,2831.365,1.132056,2968.331,3-oxoacyl- [b2323],fabB,3-oxoacyl-[acyl-carrier-protein] synthase I,GO:0005737(cytoplasm),chr:2439430-2439371,946799,b2323
A_07_P013906,1,2776.985,1.0014491,2328.349,1,2561.58,1.0116981,2059.28,1,1972.35,1.0741227,1961.943,putative peptidase [b2324],mnmC,fused 5-methylaminomethyl-2-thiouridine-forming enzyme methyltransferase/FAD-dependent demodification enzyme,,chr:2441085-2441144,946800,b2324
A_07_P013913,1,2993.404,0.9845248,2467.389,0.99999994,2751.347,0.9801133,2142.783,1,2362.805,1.0883358,2381.438,"orf, hypothetical protein [b2325]",yfcL,predicted protein,,chr:2442158-2442099,946804,b2325
A_07_P013916,1,3003.76,1.0552387,2653.76,1,3226.217,0.99632734,2554.184,1,2568.882,1.1222484,2669.818,putative transporting ATPase [b2326],yfcM,conserved protein,,chr:2442306-2442247,946807,b2326
A_07_P013925,1,3834.968,0.9741603,3127.792,1,3789.253,1.0219347,3077.041,1,2890.334,1.2464852,3336.443,putative structural protein [b2327],yfcA,conserved inner membrane protein,,chr:2443252-2443193,946808,b2327
A_07_P013927,1,2919.526,1.0965112,2680.224,1,3251.351,0.9555446,2468.717,1,2709.705,1.1602259,2911.475,"murein DD-endopeptidase, penicillin-insensitive [b2328]",mepA,murein DD-endopeptidase,GO:0009252(peptidoglycan biosynthetic process)|GO:0009274(peptidoglycan-based cell wall)|GO:0042493(response to drug),chr:2443781-2443722,946812,b2328
A_07_P013933,1,658.4506,1.2100447,667.0683,0.99999994,701.1529,1.1008372,613.3274,1,538.673,1.2920847,644.562,chorismate synthase [b2329],aroC,chorismate synthase,GO:0009423(chorismate biosynthetic process),chr:2445080-2445021,946814,b2329
A_07_P013940,1,3095.155,1.044996,2707.963,1,3047.748,1.084091,2625.435,1,2886.841,1.0859022,2903.101,putative adenine-specific methylase [b2330],prmB,N5-glutamine methyltransferase,,chr:2445592-2445533,946805,b2330
A_07_P013941,1,2042.031,1.0007831,1710.992,1,1962.615,1.0339377,1612.449,1,1930.339,1.0766351,1924.645,"orf, hypothetical protein [b2331]",yfcN,conserved protein,,chr:2446797-2446856,944847,b2331
A_07_P013946,1,1209.754,0.97227496,984.7633,1,988.523,1.1704206,919.3593,0.99999994,890.0524,1.1360503,936.4007,"orf, hypothetical protein [b2332]",yfcO,predicted protein,,chr:2447523-2447464,946620,b2332
A_07_P013951,1,2524.488,1.1206642,2368.615,1,2729.501,1.0482119,2273.468,1,2412.343,1.0977812,2452.468,putative fimbrial-like protein [b2333],yfcP,predicted fimbrial-like adhesin protein,GO:0009289(fimbrium),chr:2448217-2448158,946788,b2333
A_07_P013957,0.99999994,2250.611,0.9287049,1749.943,0.99999994,1921.183,1.0625246,1622.05,1,1641.222,1.0638752,1616.987,"orf, hypothetical protein [b2334]",yfcQ,predicted fimbrial-like adhesin protein,GO:0009289(fimbrium),chr:2448670-2448611,946779,b2334
A_07_P013962,1,3051.137,1.1041741,2820.622,0.99999994,2870.023,1.1281871,2572.901,1,2746.645,1.0278434,2614.436,putative fimbrial protein [b2335],yfcR,predicted fimbrial-like adhesin protein,GO:0009289(fimbrium),chr:2449225-2449166,946818,b2335
A_07_P013969,1,3304.526,0.9840085,2722.411,1,3039.931,1.1170084,2698.216,1,2571.777,1.0922889,2601.473,putative chaperone [b2336],yfcS,predicted periplasmic pilus chaperone,GO:0006457(protein folding),chr:2450198-2450139,946418,b2336
A_07_P013971,1,4429.1,1.1252447,4172.614,1,4317.223,1.0996286,3772.307,1,4202.401,1.0319452,4016.083,putative outer membrane protein [b2337],,,,chr:2450671-2450612,,b2337
A_07_P013976,1,2385.232,1.0776033,2151.965,1,2195.53,1.1213831,1956.365,1,1981.266,1.1550122,2119.229,putative outer membrane protein [b2338],yfcU,pseudo,,chr:2451724-2451665,1450268,b2338
A_07_P013982,1,4251.939,1.0602751,3774.429,1,4316.387,1.1084713,3801.906,1,3741.057,1.0680326,3700.218,putative fimbrial-like protein [b2339],yfcV,predicted fimbrial-like adhesin protein,GO:0009289(fimbrium),chr:2453381-2453322,949109,b2339
A_07_P013986,1,3893.123,1.2530322,4084.191,1,4402.527,1.1439252,4001.807,1,4158.164,1.073535,4133.961,"orf, hypothetical protein [b2340]",sixA,phosphohistidine phosphatase,GO:0006464(protein modification process),chr:2454533-2454474,946815,b2340
A_07_P013995,1,7091.55,1.2599028,7480.384,1,6493.811,1.0820152,5583.281,1,5456.525,0.9506226,4803.666,putative enzyme [b2341],fadJ,fused enoyl-CoA hydratase and epimerase and isomerase/3-hydroxyacyl-CoA dehydrogenase,GO:0019395(fatty acid oxidation),chr:2455319-2455260,949097,b2341
A_07_P014000,1,2969.01,1.0651673,2647.739,1,3144.713,1.0674828,2667.463,0.99999994,2530.743,0.98719966,2313.671,putative acyltransferase [b2342],fadI,"beta-ketoacyl-CoA thiolase, anaerobic, subunit",,chr:2457828-2457769,948823,b2342
A_07_P014002,1,2813.187,1.0227295,2408.824,0.99999994,2670.184,1.0252991,2175.446,0.99999994,2570.544,0.7982312,1900.213,"orf, hypothetical protein [b2343]",yfcZ,conserved protein,,chr:2458953-2458894,948817,b2343
A_07_P014007,1,3072.934,0.976509,2512.321,1,2946.038,0.99061507,2318.995,0.99999994,2308.548,0.92298734,1973.255,transport of long-chain fatty acids; sensitivity to phage T2 [b2344],fadL,long-chain fatty acid outer membrane transporter,GO:0009274(peptidoglycan-based cell wall)|GO:0009279(cell outer membrane)|GO:0019395(fatty acid oxidation),chr:2460528-2460587,946820,b2344
A_07_P014013,0.99999994,2591.794,1.0481917,2274.505,1,2895.214,1.1145163,2564.033,1,2371.252,1.0491264,2303.849,"orf, hypothetical protein [b2345]",yfdF,predicted protein,GO:0006259(DNA metabolic process),chr:2462010-2462069,946819,b2345
A_07_P014018,1,718.2451,1.2252634,736.7969,1,890.4883,1.0385218,734.8528,1,654.1954,1.1679535,707.5898,lipoprotein precursor [b2346],vacJ,predicted lipoprotein,GO:0009274(peptidoglycan-based cell wall)|GO:0019866(organelle inner membrane),chr:2462343-2462284,945582,b2346
A_07_P014023,1,3563.914,1.069225,3190.377,1,3733.462,1.0518652,3120.53,1,2846.552,0.92676437,2443.076,putative transport [b2347],yfdC,predicted inner membrane protein,,chr:2464195-2464254,944801,b2347
A_07_P014030,1,3687.151,1.0196729,3147.73,1,3559.618,1.2011261,3397.414,1,3226.628,0.87333894,2609.638,putative prophage Sf6-like integrase [b2349],intS,CPS-53 (KpLE1) prophage; predicted prophage CPS-53 integrase,,chr:2465636-2465695,946821,b2349
A_07_P014031,1,1387.216,1.0473558,1216.421,1,1195.637,1.1959301,1136.218,1,1221.815,0.9797256,1108.558,"orf, hypothetical protein [b2350]",yfdG,CPS-53 (KpLE1) prophage; bactoprenol-linked glucose translocase (flippase),,chr:2466039-2466098,948821,b2350
A_07_P014040,1,2572.979,1.0705578,2306.174,1,2585.587,1.1081887,2276.8237,1,2367.2607,0.8769555,1922.5258,putative glycan biosynthesis enzyme [b2351],yfdH,CPS-53 (KpLE1) prophage; bactoprenol glucosyl transferase,,chr:2467093-2467152,949098,b2351
A_07_P014045,1,575.1049,0.97828984,471.0427,1,519.9411,1.1741532,485.1046,1,438.5051,1.1139325,452.3577,putative ligase [b2352],yfdI,CPS-53 (KpLE1) prophage; predicted inner membrane protein,,chr:2468059-2468118,946822,b2352
A_07_P014047,0.99999994,3442.237,1.0486084,3022.037,1,3258.424,1.1320999,2931.223,1,2839.857,1.1066339,2910.375,"orf, hypothetical protein [b2353]",tfaS,pseudo,,chr:2468944-2469003,946825,b2353
A_07_P014053,1,3683.813,1.0205586,3147.612,1,3481.207,1.1690425,3233.826,1,2936.021,0.985669,2680.025,"orf, hypothetical protein [b2354]",yfdK,CPS-53 (KpLE1) prophage; conserved protein,,chr:2469323-2469264,948822,b2354
A_07_P014056,1,4398.248,1.0106679,3721.636,1,4037.103,1.1480473,3682.868,1,3836.08,0.9953399,3535.962,putative RNA polymerase beta [b2355],yfdL,pseudo,,chr:2469677-2469618,949099,b2355
A_07_P014063,1,7307.994,1.1157657,6826.795,1,6679.852,1.1520423,6114.934,1,5892.996,1.0019293,5467.915,"orf, hypothetical protein [b2356]",yfdM,pseudo,,chr:2470282-2470223,945416,b2356
A_07_P014069,1,1766.369,1.0099183,1493.528,1,1785.159,1.0347065,1467.745,1,1848.247,0.9612113,1645.233,"orf, hypothetical protein [b2357]",yfdN,CPS-53 (KpLE1) prophage; predicted protein,,chr:2470891-2470832,946419,b2357
A_07_P014071,1,2731.336,1.1310669,2586.48,0.99999994,2697.257,1.0642405,2280.965,1,2491.231,1.0277799,2371.17,"orf, hypothetical protein [b2358]",yfdO,pseudo,,chr:2470987-2470928,947403,b2358
A_07_P014079,1,2923.718,1.1438645,2799.985,1,2954.419,1.0452738,2453.91,1,2868.502,0.9132206,2425.936,"orf, hypothetical protein [b2359]",yfdP,CPS-53 (KpLE1) prophage; predicted protein,,chr:2471804-2471863,945565,b2359
A_07_P014081,0.99999994,2283.549,1.169538,2235.993,0.99999994,2349.966,1.1149867,2082.034,1,2034.792,0.9933112,1871.776,"orf, hypothetical protein [b2360]",yfdQ,CPS-53 (KpLE1) prophage; predicted protein,,chr:2472634-2472693,946827,b2360
