gi|38704121|ref|NP_311708.2|	hypothetical protein ECs3681	ECs3681	NA
gi|15833200|ref|NP_311973.1|	hypothetical protein ECs3946	ECs3946	NA
gi|15833201|ref|NP_311974.1|	DNA-binding/iron metalloprotein/AP endonuclease	ECs3947	NA
gi|15832335|ref|NP_311108.1|	ABC transporter ATP-binding protein	ECs3081	NA
gi|162139784|ref|NP_310599.2|	hypothetical protein ECs2572	ECs2572	NA
gi|15832337|ref|NP_311110.1|	CcmH precursor	ECs3083	NA
gi|15832336|ref|NP_311109.1|	transcriptional regulator NarP	ECs3082	NA
gi|15832331|ref|NP_311104.1|	50S ribosomal protein L25	ECs3077	NA
gi|15832330|ref|NP_311103.1|	ATP-dependent helicase	ECs3076	NA
gi|15832333|ref|NP_311106.1|	hypothetical protein ECs3079	ECs3079	NA
gi|15831502|ref|NP_310275.1|	portal protein	ECs2248	NA
gi|15831349|ref|NP_310122.1|	hypothetical protein ECs2095	ECs2095	NA
gi|15831501|ref|NP_310274.1|	hypothetical protein ECs2247	ECs2247	NA
gi|15831345|ref|NP_310118.1|	hemin-binding lipoprotein	ECs2091	NA
gi|15831344|ref|NP_310117.1|	hypothetical protein ECs2090, partial	ECs2090	NA
gi|15831346|ref|NP_310119.1|	D-alanyl-D-alanine dipeptidase	ECs2092	NA
gi|15831341|ref|NP_310114.1|	ABC transporter ATP-binding protein	ECs2087	NA
gi|15831340|ref|NP_310113.1|	osmotically inducible protein	ECs2086	NA
gi|15831343|ref|NP_310116.1|	ATP-dependent peptide transporter membrane subunit	ECs2089	NA
gi|15831342|ref|NP_310115.1|	ABC transporter ATP-binding protein	ECs2088	NA
gi|15831189|ref|NP_309962.1|	hypothetical protein ECs1935	ECs1935	NA
gi|15831188|ref|NP_309961.1|	exonuclease VIII	ECs1934	NA
gi|162139789|ref|NP_310330.2|	acid shock protein	ECs2303	NA
gi|15831183|ref|NP_309956.1|	transposase	ECs1929	NA
gi|15831182|ref|NP_309955.1|	C32 tRNA thiolase	ECs1928	NA
gi|15831181|ref|NP_309954.1|	ATP-dependent RNA helicase DbpA	ECs1927	NA
gi|15831180|ref|NP_309953.1|	zinc transporter	ECs1926	zntB
gi|15831187|ref|NP_309960.1|	recombination and repair protein RecT	ECs1933	recT
gi|15831186|ref|NP_309959.1|	restriction alleviation and modification protein	ECs1932	lar
gi|15831185|ref|NP_309958.1|	hypothetical protein ECs1931	ECs1931	NA
gi|15834485|ref|NP_313258.1|	ornithine carbamoyltransferase subunit I	ECs5231	NA
gi|15834484|ref|NP_313257.1|	hypothetical protein ECs5230	ECs5230	NA
gi|15834486|ref|NP_313259.1|	hypothetical protein ECs5232	ECs5232	NA
gi|15833202|ref|NP_311975.1|	30S ribosomal protein S21	ECs3948	rpsU
gi|15834480|ref|NP_313253.1|	oxidoreductase	ECs5226	NA
gi|15832246|ref|NP_311019.1|	hypothetical protein ECs2992	ECs2992	NA
gi|15834476|ref|NP_313249.1|	aspartate carbamoyltransferase	ECs5222	pyrB
gi|15834489|ref|NP_313262.1|	valyl-tRNA synthetase	ECs5235	valS
gi|15834488|ref|NP_313261.1|	hypothetical protein ECs5234	ECs5234	NA
gi|15832667|ref|NP_311440.1|	ABC transporter ATP-binding protein	ECs3413	NA
gi|15833118|ref|NP_311891.1|	hypothetical protein ECs3864	ECs3864	NA
gi|15833119|ref|NP_311892.1|	hypothetical protein ECs3865	ECs3865	NA
gi|15831509|ref|NP_310282.1|	hypothetical protein ECs2255	ECs2255	NA
gi|15834151|ref|NP_312924.1|	vitamin B12/cobalamin outer membrane transporter	ECs4897	btuB
gi|15834413|ref|NP_313186.1|	hypothetical protein ECs5159	ECs5159	NA
gi|15833112|ref|NP_311885.1|	hypothetical protein ECs3858	ECs3858	NA
gi|15833113|ref|NP_311886.1|	hypothetical protein ECs3859	ECs3859	NA
gi|15831508|ref|NP_310281.1|	Dnase	ECs2254	NA
gi|15833116|ref|NP_311889.1|	transposase	ECs3862	NA
gi|15833117|ref|NP_311890.1|	transposase	ECs3863	NA
gi|15832420|ref|NP_311193.1|	NADH dehydrogenase subunit H	ECs3166	NA
gi|15832423|ref|NP_311196.1|	NADH dehydrogenase subunit E	ECs3169	NA
gi|15832422|ref|NP_311195.1|	NADH dehydrogenase I subunit F	ECs3168	NA
gi|15832425|ref|NP_311198.1|	NADH dehydrogenase subunit B	ECs3171	NA
gi|15832424|ref|NP_311197.1|	bifunctional NADH:ubiquinone oxidoreductase subunit C/D	ECs3170	NA
gi|15832427|ref|NP_311200.1|	LysR family transcriptional regulator	ECs3173	NA
gi|15833580|ref|NP_312353.1|	hypothetical protein ECs4326	ECs4326	NA
gi|15832429|ref|NP_311202.1|	hypothetical protein ECs3175	ECs3175	NA
gi|15832428|ref|NP_311201.1|	aminotransferase	ECs3174	NA
gi|15833851|ref|NP_312624.1|	hypothetical protein ECs4597	ECs4597	NA
gi|359268811|ref|YP_004935383.1|	TrpR binding protein WrbA	ECs5596	wrbA
gi|15831231|ref|NP_310004.1|	head-tail adaptor	ECs1977	NA
gi|15831230|ref|NP_310003.1|	hypothetical protein ECs1976	ECs1976	NA
gi|15831233|ref|NP_310006.1|	hypothetical protein ECs1979	ECs1979	NA
gi|15831232|ref|NP_310005.1|	hypothetical protein ECs1978	ECs1978	NA
gi|15831235|ref|NP_310008.1|	tail assembly chaperon	ECs1981	NA
gi|15831234|ref|NP_310007.1|	major tail protein	ECs1980	NA
gi|15831237|ref|NP_310010.1|	tail length tape measure protein	ECs1983	NA
gi|15831236|ref|NP_310009.1|	hypothetical protein ECs1982	ECs1982	NA
gi|15831239|ref|NP_310012.1|	minor tail protein	ECs1985	NA
gi|15831238|ref|NP_310011.1|	minor tail protein	ECs1984	NA
gi|15834415|ref|NP_313188.1|	hypothetical protein ECs5161	ECs5161	NA
gi|15833757|ref|NP_312530.1|	lipopolysaccharide core biosynthesis protein	ECs4503	NA
gi|15833584|ref|NP_312357.1|	hypothetical protein ECs4330	ECs4330	NA
gi|15833048|ref|NP_311821.1|	arginine exporter protein	ECs3794	NA
gi|15831323|ref|NP_310096.1|	cryptic nitrate reductase 2 subunit delta	ECs2069	NA
gi|15833855|ref|NP_312628.1|	hypothetical protein ECs4601	ECs4601	NA
gi|15833049|ref|NP_311822.1|	mechanosensitive channel MscS	ECs3795	NA
gi|15833854|ref|NP_312627.1|	hypothetical protein ECs4600	ECs4600	NA
gi|15833528|ref|NP_312301.1|	glycogen synthase	ECs4274	glgA
gi|38704135|ref|NP_311901.2|	glutathione S-transferase	ECs3874	NA
gi|15832528|ref|NP_311301.1|	hypothetical protein ECs3274	ECs3274	NA
gi|15832529|ref|NP_311302.1|	hypothetical protein ECs3275	ECs3275	NA
gi|15833588|ref|NP_312361.1|	hypothetical protein ECs4334	ECs4334	NA
gi|15832524|ref|NP_311297.1|	hypothetical protein ECs3270	ECs3270	NA
gi|15832525|ref|NP_311298.1|	manganese transport protein MntH	ECs3271	NA
gi|15832526|ref|NP_311299.1|	permease of transport system for 3 nucleosides	ECs3272	NA
gi|15832527|ref|NP_311300.1|	hypothetical protein ECs3273	ECs3273	NA
gi|15832520|ref|NP_311293.1|	transporter	ECs3266	NA
gi|15832521|ref|NP_311294.1|	PTS system enzyme IIB component	ECs3267	NA
gi|15832522|ref|NP_311295.1|	glucokinase	ECs3268	glk
gi|15832523|ref|NP_311296.1|	hypothetical protein ECs3269	ECs3269	NA
gi|15834011|ref|NP_312784.1|	hypothetical protein ECs4757	ECs4757	NA
gi|15832853|ref|NP_311626.1|	tRNA pseudouridine synthase D	ECs3599	truD
gi|15833068|ref|NP_311841.1|	arginine decarboxylase	ECs3814	NA
gi|15833069|ref|NP_311842.1|	hypothetical protein ECs3815	ECs3815	NA
gi|15833066|ref|NP_311839.1|	agmatinase	ECs3812	NA
gi|15833067|ref|NP_311840.1|	lipoprotein	ECs3813	NA
gi|15833064|ref|NP_311837.1|	transketolase	ECs3810	NA
gi|15832541|ref|NP_311314.1|	PTS system phosphohistidinoprotein-hexose phosphotransferase Hpr	ECs3287	NA
gi|15833062|ref|NP_311835.1|	mannitol-specific PTS system enzyme II component	ECs3808	NA
gi|15833063|ref|NP_311836.1|	mannitol phosphotransferase subunit EIIA	ECs3809	cmtB
gi|15833060|ref|NP_311833.1|	fructose-1,6-bisphosphatase II-like protein	ECs3806	NA
gi|15833061|ref|NP_311834.1|	oxidoreductase	ECs3807	NA
gi|15833911|ref|NP_312684.1|	hypothetical protein ECs4657	ECs4657	NA
gi|15833372|ref|NP_312145.1|	hypothetical protein ECs4118	ECs4118	NA
gi|15831708|ref|NP_310481.1|	bifunctional succinylornithine transaminase/acetylornithine transaminase	ECs2454	argD
gi|15834316|ref|NP_313089.1|	outer membrane efflux protein MdtP	ECs5062	NA
gi|15833373|ref|NP_312146.1|	ribonuclease G	ECs4119	NA
gi|15833920|ref|NP_312693.1|	fimbrial protein	ECs4666	NA
gi|15832041|ref|NP_310814.1|	cobalamin synthase	ECs2787	cobS
gi|15830904|ref|NP_309677.1|	tail fiber protein	ECs1650	NA
gi|15830905|ref|NP_309678.1|	tail fiber assembly protein	ECs1651	NA
gi|15830906|ref|NP_309679.1|	catalase	ECs1652	NA
gi|15830907|ref|NP_309680.1|	hypothetical protein ECs1653	ECs1653	NA
gi|15830900|ref|NP_309673.1|	tail assembly protein	ECs1646	NA
gi|15830901|ref|NP_309674.1|	tail assembly protein	ECs1647	NA
gi|15830902|ref|NP_309675.1|	host specificity protein	ECs1648	NA
gi|15830903|ref|NP_309676.1|	membrane protein	ECs1649	NA
gi|15834265|ref|NP_313038.1|	hypothetical protein ECs5011	ECs5011	NA
gi|15834185|ref|NP_312958.1|	homoserine O-succinyltransferase	ECs4931	NA
gi|15834267|ref|NP_313040.1|	phosphate-starvation-inducible protein PsiE	ECs5013	NA
gi|15833047|ref|NP_311820.1|	hypothetical protein ECs3793	ECs3793	NA
gi|15830908|ref|NP_309681.1|	hypothetical protein ECs1654	ECs1654	NA
gi|15830909|ref|NP_309682.1|	hypothetical protein ECs1655	ECs1655	NA
gi|15834263|ref|NP_313036.1|	hypothetical protein ECs5009	ECs5009	NA
gi|15834262|ref|NP_313035.1|	glucose-6-phosphate isomerase	ECs5008	pgi
gi|15829869|ref|NP_308642.1|	transport	ECs0615	NA
gi|15829868|ref|NP_308641.1|	phenylalanine transporter	ECs0614	NA
gi|15832632|ref|NP_311405.1|	cytoskeletal protein RodZ	ECs3378	NA
gi|15832633|ref|NP_311406.1|	ribosomal RNA large subunit methyltransferase N	ECs3379	NA
gi|15832634|ref|NP_311407.1|	nucleoside diphosphate kinase	ECs3380	ndk
gi|15832635|ref|NP_311408.1|	polyferredoxin	ECs3381	NA
gi|15832636|ref|NP_311409.1|	anaerobic dimethyl sulfoxide reductase chain C	ECs3382	NA
gi|15832637|ref|NP_311410.1|	anaerobic dimethyl sulfoxide reductase subunit B	ECs3383	NA
gi|15829861|ref|NP_308634.1|	hypothetical protein ECs0607	ECs0607	NA
gi|15829860|ref|NP_308633.1|	hypothetical protein ECs0606	ECs0606	NA
gi|15829863|ref|NP_308636.1|	CusR family transcriptional regulator	ECs0609	NA
gi|15829862|ref|NP_308635.1|	sensor kinase CusS	ECs0608	NA
gi|15829865|ref|NP_308638.1|	copper-binding protein	ECs0611	NA
gi|15829864|ref|NP_308637.1|	copper/silver efflux system outer membrane protein CusC	ECs0610	NA
gi|15829867|ref|NP_308640.1|	inner membrane component for iron transport	ECs0613	NA
gi|15829866|ref|NP_308639.1|	copper/silver efflux system membrane fusion protein CusB	ECs0612	NA
gi|38704171|ref|NP_312376.2|	GntR family transcriptional regulator	ECs4349	NA
gi|15833378|ref|NP_312151.1|	regulatory protein CsrD	ECs4124	NA
gi|15833945|ref|NP_312718.1|	sugar ABC transporter ATP-binding protein	ECs4691	NA
gi|15832054|ref|NP_310827.1|	hypothetical protein ECs2800	ECs2800	NA
gi|15834566|ref|NP_313339.1|	hypothetical protein ECs5312	ECs5312	NA
gi|15829465|ref|NP_308238.1|	DNA polymerase III subunit epsilon	ECs0211	NA
gi|15829464|ref|NP_308237.1|	ribonuclease H	ECs0210	rnhA
gi|15829467|ref|NP_308240.1|	hypothetical protein ECs0213	ECs0213	NA
gi|15829466|ref|NP_308239.1|	hypothetical protein ECs0212	ECs0212	NA
gi|15829461|ref|NP_308234.1|	membrane-bound lytic murein transglycosylase D	ECs0207	mltD
gi|15829460|ref|NP_308233.1|	biotin synthesis protein	ECs0206	NA
gi|15829463|ref|NP_308236.1|	hypothetical protein ECs0209	ECs0209	NA
gi|15829462|ref|NP_308235.1|	hydroxyacylglutathione hydrolase	ECs0208	NA
gi|15831989|ref|NP_310762.1|	terminase large subunit	ECs2735	NA
gi|15831988|ref|NP_310761.1|	head completion protein	ECs2734	NA
gi|15829468|ref|NP_308241.1|	hypothetical protein ECs0214	ECs0214	NA
gi|15829263|ref|NP_308036.1|	molybdenum cofactor biosynthesis protein MogA	ECs0009	mogA
gi|15829262|ref|NP_308035.1|	transaldolase B	ECs0008	NA
gi|15829261|ref|NP_308034.1|	inner membrane transport protein	ECs0007	NA
gi|15829260|ref|NP_308033.1|	hypothetical protein ECs0006	ECs0006	NA
gi|15829267|ref|NP_308040.1|	hypothetical protein ECs0013	ECs0013	NA
gi|15829265|ref|NP_308038.1|	hypothetical protein ECs0012	ECs0012	NA
gi|15829264|ref|NP_308037.1|	hypothetical protein ECs0010	ECs0010	NA
gi|15830342|ref|NP_309115.1|	hypothetical protein ECs1088	ECs1088	NA
gi|15830343|ref|NP_309116.1|	transposase	ECs1089	NA
gi|15829269|ref|NP_308042.1|	molecular chaperone DnaJ	ECs0015	NA
gi|15830341|ref|NP_309114.1|	transcriptional regulator	ECs1087	NA
gi|15830346|ref|NP_309119.1|	endopeptidase	ECs1093	NA
gi|15833452|ref|NP_312225.1|	FKBP-type peptidylprolyl isomerase	ECs4198	NA
gi|15830344|ref|NP_309117.1|	transposase	ECs1090	NA
gi|15830345|ref|NP_309118.1|	transcriptional regulator	ECs1091	NA
gi|15832986|ref|NP_311759.1|	EivE	ECs3732	NA
gi|15832987|ref|NP_311760.1|	EivG	ECs3733	NA
gi|15832984|ref|NP_311757.1|	ATP synthase SpaL	ECs3730	NA
gi|15832985|ref|NP_311758.1|	EivA	ECs3731	NA
gi|15832982|ref|NP_311755.1|	hypothetical protein ECs3728	ECs3728	NA
gi|15832983|ref|NP_311756.1|	EivI	ECs3729	NA
gi|15832980|ref|NP_311753.1|	surface presentation of antigens protein SpaO	ECs3726	NA
gi|15832981|ref|NP_311754.1|	EivJ	ECs3727	NA
gi|15833695|ref|NP_312468.1|	major cold shock protein	ECs4441	NA
gi|15833694|ref|NP_312467.1|	transcriptional regulator	ECs4440	NA
gi|15833697|ref|NP_312470.1|	glycyl-tRNA synthetase subunit alpha	ECs4443	glyQ
gi|15833696|ref|NP_312469.1|	glycyl-tRNA synthetase subunit beta	ECs4442	glyS
gi|10955326|ref|NP_052667.1|	hypothetical protein pO157p60	pO157p60	IS629
gi|15833690|ref|NP_312463.1|	biotin sulfoxide reductase	ECs4436	NA
gi|15832988|ref|NP_311761.1|	EivF	ECs3734	NA
gi|15831322|ref|NP_310095.1|	cryptic nitrate reductase 2 subunit gamma	ECs2068	NA
gi|38704069|ref|NP_311173.2|	hypothetical protein ECs3146	ECs3146	NA
gi|15832739|ref|NP_311512.1|	chaperone-like protein	ECs3485	NA
gi|15831689|ref|NP_310462.1|	hypothetical protein ECs2435	ECs2435	NA
gi|15833624|ref|NP_312397.1|	oligopeptidase A	ECs4370	NA
gi|15830005|ref|NP_308778.1|	2-oxoglutarate dehydrogenase E1	ECs0751	sucA
gi|15830004|ref|NP_308777.1|	hypothetical protein ECs0750	ECs0750	NA
gi|15830007|ref|NP_308780.1|	succinyl-CoA synthetase subunit beta	ECs0753	sucC
gi|15830006|ref|NP_308779.1|	dihydrolipoamide succinyltransferase	ECs0752	NA
gi|15830001|ref|NP_308774.1|	succinate dehydrogenase cytochrome b556 small membrane subunit	ECs0747	sdhD
gi|15830000|ref|NP_308773.1|	succinate dehydrogenase cytochrome b556 large membrane subunit	ECs0746	sdhC
gi|15830003|ref|NP_308776.1|	succinate dehydrogenase iron-sulfur subunit	ECs0749	sdhB
gi|15830002|ref|NP_308775.1|	succinate dehydrogenase flavoprotein subunit	ECs0748	sdhA
gi|15834074|ref|NP_312847.1|	formate dehydrogenase-O major subunit	ECs4820	NA
gi|15834075|ref|NP_312848.1|	formate dehydrogenase accessory protein	ECs4821	NA
gi|15834076|ref|NP_312849.1|	hypothetical protein ECs4822	ECs4822	NA
gi|15831399|ref|NP_310172.1|	hypothetical protein ECs2145	ECs2145	NA
gi|15830009|ref|NP_308782.1|	transcriptional regulator	ECs0755	NA
gi|15830008|ref|NP_308781.1|	succinyl-CoA synthetase subunit alpha	ECs0754	NA
gi|38704198|ref|NP_312672.2|	tryptophanase	ECs4645	tnaA
gi|38704199|ref|NP_944572.1|	hypothetical protein ECs5542	ECs5542	NA
gi|15829397|ref|NP_308170.1|	outer membrane usher protein	ECs0143	NA
gi|15829396|ref|NP_308169.1|	fimbrial protein	ECs0142	NA
gi|15829395|ref|NP_308168.1|	fimbrial protein	ECs0141	NA
gi|15829394|ref|NP_308167.1|	fimbrial protein	ECs0140	NA
gi|15829393|ref|NP_308166.1|	fimbrial protein	ECs0139	NA
gi|15829392|ref|NP_308165.1|	3-methyl-2-oxobutanoate hydroxymethyltransferase	ECs0138	panB
gi|15829391|ref|NP_308164.1|	pantoate--beta-alanine ligase	ECs0137	panC
gi|15829390|ref|NP_308163.1|	hypothetical protein ECs0136	ECs0136	NA
gi|162139788|ref|NP_310378.2|	transcriptional regulator SlyA	ECs2351	NA
gi|15829641|ref|NP_308414.1|	2-methylcitrate dehydratase	ECs0387	prpD
gi|15832769|ref|NP_311542.1|	ABC transporter ATP-binding protein	ECs3515	NA
gi|15829399|ref|NP_308172.1|	fimbrial-like protein	ECs0145	NA
gi|15829398|ref|NP_308171.1|	chaperone protein EcpD	ECs0144	NA
gi|15832858|ref|NP_311631.1|	adenylylsulfate kinase	ECs3604	NA
gi|15832859|ref|NP_311632.1|	sulfate adenylyltransferase subunit 1	ECs3605	cysN
gi|15833583|ref|NP_312356.1|	acyl carrier protein	ECs4329	NA
gi|15833582|ref|NP_312355.1|	acyl carrier protein	ECs4328	NA
gi|15831917|ref|NP_310690.1|	flagellar capping protein	ECs2663	fliD
gi|15829643|ref|NP_308416.1|	cytosine permease	ECs0389	codB
gi|15833587|ref|NP_312360.1|	hypothetical protein ECs4333	ECs4333	NA
gi|15833586|ref|NP_312359.1|	(3R)-hydroxymyristoyl-ACP dehydratase	ECs4332	NA
gi|15832850|ref|NP_311623.1|	Nlp family transcriptional regulator	ECs3596	nlpD
gi|15832851|ref|NP_311624.1|	protein-L-isoaspartate O-methyltransferase	ECs3597	pcm
gi|15832852|ref|NP_311625.1|	stationary phase survival protein SurE	ECs3598	surE
gi|15829642|ref|NP_308415.1|	propionyl-CoA synthetase	ECs0388	prpE
gi|15832854|ref|NP_311627.1|	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	ECs3600	ispF
gi|15832855|ref|NP_311628.1|	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	ECs3601	ispD
gi|15832856|ref|NP_311629.1|	cell division protein FtsB	ECs3602	ftsB
gi|15832857|ref|NP_311630.1|	hypothetical protein ECs3603	ECs3603	NA
gi|38704101|ref|NP_311427.2|	hypothetical protein ECs3400	ECs3400	NA
gi|38704100|ref|NP_311423.2|	cysteine desulfurase	ECs3396	NA
gi|15832552|ref|NP_311325.1|	hypothetical protein ECs3298	ECs3298	NA
gi|15829526|ref|NP_308299.1|	transcription antitermination protein	ECs0272	NA
gi|15830179|ref|NP_308952.1|	DeoR family transcriptional regulator	ECs0925	NA
gi|38704068|ref|NP_944555.1|	hypothetical protein ECs5486	ECs5486	NA
gi|15829527|ref|NP_308300.1|	hypothetical protein ECs0273	ECs0273	NA
gi|15829649|ref|NP_308422.1|	galactoside O-acetyltransferase	ECs0395	lacA
gi|15829648|ref|NP_308421.1|	cyanate transporter	ECs0394	cynX
gi|15830171|ref|NP_308944.1|	dehydrogenase	ECs0917	NA
gi|15830170|ref|NP_308943.1|	biofilm formation regulatory protein BssR	ECs0916	bssR
gi|15830173|ref|NP_308946.1|	D-alanyl-D-alanine carboxypeptidase	ECs0919	NA
gi|15829646|ref|NP_308419.1|	carbonic anhydrase	ECs0392	NA
gi|15830175|ref|NP_308948.1|	undecaprenyl pyrophosphate phosphatase	ECs0921	NA
gi|15830174|ref|NP_308947.1|	DeoR family transcriptional regulator	ECs0920	NA
gi|15830177|ref|NP_308950.1|	hypothetical protein ECs0923	ECs0923	NA
gi|15830176|ref|NP_308949.1|	proton motive force efflux pump	ECs0922	NA
gi|15833431|ref|NP_312204.1|	50S ribosomal protein L29	ECs4177	rpmC
gi|15834101|ref|NP_312874.1|	hypothetical protein ECs4847	ECs4847	NA
gi|15829489|ref|NP_308262.1|	hypothetical protein ECs0235	ECs0235	NA
gi|15829488|ref|NP_308261.1|	hypothetical protein ECs0234	ECs0234	NA
gi|15834104|ref|NP_312877.1|	fructose 1,6-bisphosphatase II	ECs4850	glpX
gi|15829522|ref|NP_308295.1|	outer membrane phosphoporin protein E	ECs0268	NA
gi|15834106|ref|NP_312879.1|	glycerol facilitator protein	ECs4852	NA
gi|15833544|ref|NP_312317.1|	acetyltransferase YhhY	ECs4290	NA
gi|15829483|ref|NP_308256.1|	hypothetical protein ECs0229	ECs0229	NA
gi|15829482|ref|NP_308255.1|	hypothetical protein ECs0228	ECs0228	NA
gi|15829481|ref|NP_308254.1|	hypothetical protein ECs0227	ECs0227	NA
gi|15829523|ref|NP_308296.1|	gamma-glutamyl kinase	ECs0269	NA
gi|15829487|ref|NP_308260.1|	hypothetical protein ECs0233	ECs0233	NA
gi|15829486|ref|NP_308259.1|	hypothetical protein ECs0232	ECs0232	NA
gi|15829485|ref|NP_308258.1|	hypothetical protein ECs0231	ECs0231	NA
gi|15829484|ref|NP_308257.1|	hypothetical protein ECs0230	ECs0230	NA
gi|15831433|ref|NP_310206.1|	terminase large subunit	ECs2179	NA
gi|15834149|ref|NP_312922.1|	hypothetical protein ECs4895	ECs4895	NA
gi|15831432|ref|NP_310205.1|	head-to-tail joining protein	ECs2178	NA
gi|15831864|ref|NP_310637.1|	ferritin	ECs2610	NA
gi|15833559|ref|NP_312332.1|	periplasmic binding protein of high-affinity leucine-specific transport system	ECs4305	NA
gi|15833625|ref|NP_312398.1|	hypothetical protein ECs4371	ECs4371	NA
gi|15831431|ref|NP_310204.1|	portal protein	ECs2177	NA
gi|15831713|ref|NP_310486.1|	hypothetical protein ECs2459	ECs2459	NA
gi|15829480|ref|NP_308253.1|	lipoprotein	ECs0226	NA
gi|15832554|ref|NP_311327.1|	PTS system N-acetylmuramic acid transporter subunit IIBC	ECs3300	murP
gi|15833543|ref|NP_312316.1|	dehydrogenase	ECs4289	NA
gi|15834170|ref|NP_312943.1|	thiamine-phosphate pyrophosphorylase	ECs4916	thiE
gi|15831437|ref|NP_310210.1|	endopeptidase	ECs2184	NA
gi|15833896|ref|NP_312669.1|	hypothetical protein ECs4642	ECs4642	NA
gi|15833542|ref|NP_312315.1|	hypothetical protein ECs4288	ECs4288	NA
gi|15831436|ref|NP_310209.1|	transcriptional regulator	ECs2182	NA
gi|15832894|ref|NP_311667.1|	CTP synthetase	ECs3640	pyrG
gi|38704266|ref|NP_944498.1|	hypothetical protein ECs5362	ECs5362	NA
gi|15832895|ref|NP_311668.1|	nucleoside triphosphate pyrophosphohydrolase	ECs3641	mazG
gi|15831434|ref|NP_310207.1|	terminase small subunit	ECs2180	NA
gi|15833433|ref|NP_312206.1|	30S ribosomal protein S3	ECs4179	rpsC
gi|15832896|ref|NP_311669.1|	toxin ChpA	ECs3642	NA
gi|15829731|ref|NP_308504.1|	thiamine biosynthesis protein ThiI	ECs0477	NA
gi|15829730|ref|NP_308503.1|	exodeoxyribonuclease VII small subunit	ECs0476	NA
gi|15829733|ref|NP_308506.1|	2-dehydropantoate 2-reductase	ECs0479	NA
gi|15832897|ref|NP_311670.1|	antitoxin MazE	ECs3643	NA
gi|15831752|ref|NP_310525.1|	hypothetical protein ECs2498	ECs2498	NA
gi|15831753|ref|NP_310526.1|	AraC family transcriptional regulator	ECs2499	NA
gi|15829737|ref|NP_308510.1|	cytochrome o ubiquinol oxidase subunit IV	ECs0483	NA
gi|15829736|ref|NP_308509.1|	protoheme IX farnesyltransferase	ECs0482	NA
gi|15829739|ref|NP_308512.1|	cytochrome o ubiquinol oxidase subunit I	ECs0485	NA
gi|15829738|ref|NP_308511.1|	cytochrome o ubiquinol oxidase subunit III	ECs0484	NA
gi|15831758|ref|NP_310531.1|	hypothetical protein ECs2504	ECs2504	NA
gi|15831759|ref|NP_310532.1|	hypothetical protein ECs2505	ECs2505	NA
gi|15833862|ref|NP_312635.1|	hypothetical protein ECs4608, partial	ECs4608	NA
gi|15832893|ref|NP_311666.1|	phosphopyruvate hydratase	ECs3639	eno
gi|15833325|ref|NP_312098.1|	hypothetical protein ECs4071	ECs4071	NA
gi|15832258|ref|NP_311031.1|	hypothetical protein ECs3004	ECs3004	NA
gi|15833327|ref|NP_312100.1|	hypothetical protein ECs4073	ECs4073	NA
gi|15833326|ref|NP_312099.1|	hypothetical protein ECs4072	ECs4072	NA
gi|15833321|ref|NP_312094.1|	Nlp family transcriptional regulator	ECs4067	NA
gi|15833320|ref|NP_312093.1|	octaprenyl diphosphate synthase	ECs4066	NA
gi|15833323|ref|NP_312096.1|	hypothetical protein ECs4069	ECs4069	NA
gi|15833322|ref|NP_312095.1|	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	ECs4068	NA
gi|15833329|ref|NP_312102.1|	calcium/sodium:proton antiporter	ECs4075	NA
gi|15833328|ref|NP_312101.1|	ABC transporter ATP-binding protein	ECs4074	NA
gi|162139781|ref|NP_310734.2|	transcriptional regulatory protein YedW	ECs2707	NA
gi|15833081|ref|NP_311854.1|	hypothetical protein ECs3826	ECs3826	NA
gi|15834612|ref|NP_313385.1|	hypothetical protein ECs5358	ECs5358	NA
gi|15832717|ref|NP_311490.1|	bifunctional chorismate mutase/prephenate dehydrogenase	ECs3463	tyrA
gi|15834468|ref|NP_313241.1|	anaerobic ribonucleotide reductase-activating protein	ECs5214	nrdG
gi|15832716|ref|NP_311489.1|	bifunctional chorismate mutase/prephenate dehydratase	ECs3462	pheA
gi|15830593|ref|NP_309366.1|	hypothetical protein ECs1339	ECs1339	NA
gi|15830592|ref|NP_309365.1|	hypothetical protein ECs1338	ECs1338	NA
gi|15830591|ref|NP_309364.1|	hypothetical protein ECs1337	ECs1337	NA
gi|15830590|ref|NP_309363.1|	hypothetical protein ECs1336	ECs1336	NA
gi|15830597|ref|NP_309370.1|	TerW protein	ECs1343	NA
gi|15830596|ref|NP_309369.1|	hypothetical protein ECs1342	ECs1342	NA
gi|15830595|ref|NP_309368.1|	hypothetical protein ECs1341	ECs1341	NA
gi|15830594|ref|NP_309367.1|	hypothetical protein ECs1340	ECs1340	NA
gi|15830599|ref|NP_309372.1|	hypothetical protein ECs1345	ECs1345	NA
gi|15830598|ref|NP_309371.1|	hypothetical protein ECs1344	ECs1344	NA
gi|15830751|ref|NP_309524.1|	N-acetyl-D-glucosamine kinase	ECs1497	NA
gi|15830750|ref|NP_309523.1|	outer membrane-specific lipoprotein transporter subunit LolE	ECs1496	NA
gi|15830753|ref|NP_309526.1|	spermidine/putrescine ABC transporter substrate-binding protein	ECs1499	potD
gi|15830752|ref|NP_309525.1|	NAD-dependent deacetylase	ECs1498	NA
