all genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAC screening 05082013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ()*,input pool 1,,,output pool 1,,,input pool 2,,,output pool 2,,,input pool 3,,,output pool 3,,,BAC2B24,,,BAC2B5,,,,,,,,,
A_07_P053415,1,P,12220.73,0.86046207,P,8148.254,1,P,10858.23,0.62114054,P,4837.324,1,P,3639.577,1.0078316,P,4892.175,0.79712814,P,5741.642,1.0519085,P,7457.491,,ECs3311,ethanolamine ammonia-lyase small subunit,,,915296,ECs3311
A_07_P061024,1,P,228.9605,0.5859268,P,103.9536,1,P,180.9629,0.59778625,P,77.58749,1,P,152.2505,0.55488014,P,112.6733,0.20203863,A,26.63228,0.27860987,A,36.14742,,,,,,,ECs1600
A_07_P019560,0.99999994,P,8306.479,0.99004734,P,6372.481,1,P,5849.27,1.0630685,P,4459.839,1,P,3563.557,0.968851,P,4604.726,1.1408938,P,7269.501,1.030908,P,6465.262,,iscR,DNA-binding transcriptional repressor,GO:0006412(translation),chr:2660045-2659986,945279,b2531
A_07_P045803,1,P,2146.653,1.1442783,P,1903.396,1,P,2458.088,2.211778,P,3899.377,1,P,1299.323,1.0065134,P,1744.214,2.9038353,P,7047.265,4.9376297,P,11794.35,,Z4340,unknown protein encoded by ISEc8,,,958467,Z4340
A_07_P061020,1,P,2074.11,0.50866497,P,817.5216,1,P,2790.922,0.2845952,P,569.6807,1,P,1373.98,0.49037668,P,898.6143,0.123224825,P,126.7097,0.2831838,P,286.6071,,ECs1599,hypothetical protein,,,913293,ECs1599
A_07_P007596,1,P,26225.75,0.8079485,P,16419.02,1,P,24715.78,0.74919015,P,13280.75,1,P,13743.89,0.69134045,P,12672.57,0.7824816,P,14043.39,0.8622545,P,15231.41,,bcsA,"cellulose synthase, catalytic subunit",,chr:3690960-3690901,948053,b3533
A_07_P041449,1,P,10720.49,0.8210065,P,6820.196,1,P,6924.665,0.8729913,P,4335.757,0.99999994,P,3058.344,0.6586958,P,2686.794,0.76755923,P,4595.004,1.0072188,P,5934.781,,yaeJ,hypothetical protein,,,1039631,c_0230
A_07_P033839,0.99999994,P,4011.7913,1.2303944,P,3824.8848,1,P,2510.0994,1.5688848,P,2824.4783,1,P,1553.0748,1.184015,P,2452.5208,1.0542611,P,3637.068,1.007648,P,3421.519,,,,,,,c_1051
A_07_P007591,1,P,33419.67,0.7803951,P,20209.35,1,P,29908.07,0.7444808,P,15969.75,1,P,15079.05,0.6253046,P,12575.6,0.62790567,P,13098.38,0.8646309,P,17752.55,,bcsB,"regulator of cellulose synthase, cyclic di-GMP binding",,chr:3688830-3688771,948045,b3532
A_07_P041442,0.99999994,P,3085.278,0.89636177,P,2142.956,0.99999994,P,2238.637,0.9388247,P,1507.386,1,P,1089.892,0.85187757,P,1238.294,1.0076543,P,2135.179,1.0716305,P,2234.985,,dapD,"2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase",,,1037369,c_0201
A_07_P039135,1,P,112.2333,0.06966779,A,6.058839,1,P,96.04584,0.49111682,P,33.83137,1,P,200.0315,0.315229,A,84.09839,0.114096,A,7.513812,0.13471378,A,8.731899,,,,,,,c_4738
A_07_P039130,1,P,8487.936,0.6419376,P,4222.12,1,P,6526.785,0.7115514,P,3330.902,1,P,3997.914,0.62747926,P,3345.769,0.92780524,P,4284.725,0.9414123,P,4279.104,,corA,magnesium/nickel/cobalt transporter CorA,,,1038460,c_4737
A_07_P053407,1,P,13818.24,0.93223786,P,9981.943,1,P,12916.54,0.8040172,P,7448.482,1,P,5692.069,0.80685604,P,6125.327,0.7378011,P,7642.393,1.2054611,P,12289.95,,ECs3305,putative acetyltransferase,,,915305,ECs3305
A_07_P019553,1,P,5854.065,0.97573984,P,4426.161,1,P,4556.52,0.87886095,P,2872.167,1,P,2148.563,0.92185843,P,2641.651,1.0188029,P,4479.769,1.0304067,P,4459.447,,iscS,"cysteine desulfurase (tRNA sulfurtransferase), PLP-dependent",GO:0009451(RNA modification),chr:2658519-2658460,947004,b2530
A_07_P015198,1,P,9486.915,1.174953,P,8637.362,1,P,6531.527,1.6911098,P,7922.144,0.99999994,P,3894.63,1.1395593,P,5919.244,1.1824948,P,9255.433,0.94433755,P,7274.976,,yedV,predicted sensory kinase in two-component regulatory system with YedW,GO:0006464(protein modification process),chr:2035287-2035228,946487,b1968
A_07_P061011,1,P,2849.321,0.5004856,P,1105.016,1,P,4506.952,0.23748928,P,767.6853,1,P,1970.007,0.3483243,P,915.1972,0.14119518,P,166.738,0.29681057,P,344.9856,,ECs1598,putative terminase large subunit,,,913294,ECs1598
A_07_P053401,1,P,9681.326,1.0654123,P,7992.601,1,P,7534.049,1.0245711,P,5536.391,1,P,3905.679,1.2061671,P,6283.001,1.0235881,P,7739.213,0.99626803,P,7414.035,,murQ,N-acetylmuramic acid-6-phosphate etherase,,,915479,ECs3299
A_07_P007586,1,P,9090.4,0.76013064,P,5354.351,1,P,7216.745,0.7282434,P,3769.417,0.99999994,P,3083.122,0.7433066,P,3056.482,0.77870554,P,4057.387,0.8447804,P,4332.353,,bcsZ,"endo-1,4-D-glucanase",GO:0000272(polysaccharide catabolic process)|GO:0005576(extracellular region)|GO:0016052(carbohydrate catabolic process),chr:3688063-3688004,948046,b3531
A_07_P007585,1,P,25419.47,0.81688756,P,16090.31,1,P,23211.31,0.7839318,P,13050.71,0.99999994,P,12479.99,0.59321773,P,9873.964,0.64351004,P,10836,0.7575086,P,12554.75,,bcsC,cellulose synthase subunit,,chr:3684235-3684176,948047,b3530
A_07_P015194,1,P,20217.9,1.0580028,P,16575.19,1,P,17491.59,1.0339965,P,12971.93,1,P,9542.241,1.1137211,P,14173.92,0.9184681,P,15366.41,0.90239674,P,14859.79,,hchA,Hsp31 molecular chaperone,,chr:2034560-2034619,946481,b1967
A_07_P033827,0.99999994,P,6494.963,1.0726172,P,5398.301,1,P,4843.351,1.1022362,P,3828.925,1,P,2541.852,1.1393532,P,3862.529,0.9355231,P,4628.355,1.0018113,P,4878.26,,,,,,,c_1040
A_07_P041436,1,P,8098.223,0.9235891,P,5795.677,1,P,6624.586,0.8716599,P,4141.542,1,P,3441.746,0.73355865,P,3367.261,1.0068871,P,6242.809,1.3116412,P,8004.26,,hemL,glutamate-1-semialdehyde aminotransferase,,,1035152,c_0189
A_07_P041431,1,P,5595.719,0.9125207,P,3956.711,1,P,3919.399,0.9980196,P,2805.529,1,P,1478.683,0.8232165,P,1623.5,0.8284466,P,3189.133,1.0917722,P,4136.633,,mrcB,penicillin-binding protein 1b,,,1040454,c_0183
A_07_P033821,1,P,21699.18,1.1036993,P,18557.94,1,P,20293.54,0.9717224,P,14143.48,1,P,10783.06,1.2191116,P,17532.69,0.8711791,P,16376.88,0.90198314,P,16688.95,,ycaD,putative MFS family transporter protein,,,1038692,c_1037
A_07_P041430,1,P,22807.42,0.9245811,P,16340.18,1,P,19870.19,0.815028,P,11615.31,0.99999994,P,11543.6,0.71291625,P,10975.97,0.798581,P,12759.48,0.8796177,P,13832.95,,yadH,Hypothetical protein yadH,,,1035963,c_0157
A_07_P039123,0.99999994,P,86.27204,0.19514912,A,13.04585,1,P,131.7699,0.2232319,P,21.09739,1,P,111.4811,0.4001296,A,59.49289,0.14216879,A,6.71859,0.37284887,A,17.34257,,,,,,,c_4735
A_07_P019547,1,P,6983.951,0.9382986,P,5077.827,1,P,4770.22,0.9329253,P,3191.843,1,P,2243.558,0.87114835,P,2606.709,1.150522,P,5517.27,1.0220246,P,4823.891,,iscU,scaffold protein,GO:0006412(translation),chr:2658181-2658122,947002,b2529
A_07_P061008,0.99999994,P,1735.443,0.53730994,P,722.555,0.99999994,P,2394.534,0.32921255,P,565.3972,1,P,1602.584,0.38411143,P,820.9962,0.12756792,P,122.5328,0.24044085,P,227.3139,,ECs1597,putative terminase small subunit,,,913296,ECs1597
A_07_P019544,1,P,7825.27,1.054516,P,6394.228,1,P,6677.899,0.9522841,P,4561.027,1,P,3529.052,0.8966244,P,4220.187,0.98016936,P,6008.946,0.9760987,P,5889.762,,iscA,FeS cluster assembly protein,GO:0006457(protein folding),chr:2657670-2657611,946999,b2528
A_07_P061005,1,P,2448.284,0.48372135,P,917.683,1,P,3014.038,0.30692914,P,663.5033,0.99999994,P,1429.829,0.46651435,P,889.6357,0.16010815,P,172.2247,0.315712,P,334.2566,,ECs1596,hypothetical protein,,,913297,ECs1596
A_07_P015189,1,P,12123.41,1.1504316,P,10807.4,1,P,9644.731,1.3072321,P,9042.721,1,P,5676.445,1.1827527,P,8954.338,1.0100789,P,10693.03,0.93478686,P,9740.134,,,,,chr:2032944-2033003,,b1966
A_07_P007579,1,P,8481.187,0.8698218,P,5716.399,1,P,7432.864,0.8205355,P,4374.312,0.99999994,P,3847.551,0.86262643,P,4426.6,0.92078334,P,5605.392,0.8620595,P,5165.265,,yhjK,predicted diguanylate cyclase,,chr:3681713-3681654,948048,b3529
A_07_P061000,1,P,2661.961,0.5051748,P,1042.027,1,P,3703.442,0.30484244,P,809.7243,1,P,2139.018,0.44669017,P,1274.336,0.09668124,P,139.6461,0.25535655,P,363.0283,,ECs1595,hypothetical protein,,,913298,ECs1595
A_07_P007574,1,P,15066.05,0.8002805,P,9342.805,1,P,14014.07,0.69667023,P,7002.415,1,P,6391.438,0.6687012,P,5700.248,0.6964645,P,6534.972,0.8255418,P,7624.137,,dctA,"C4-dicarboxylic acid, orotate and citrate transporter",GO:0005311(sodium:dicarboxylate/tricarboxylate symporter activity)|GO:0009274(peptidoglycan-based cell wall)|GO:0016052(carbohydrate catabolic process)|GO:0019866(organelle inner membrane),chr:3680507-3680448,948039,b3528
A_07_P015182,1,P,8751.051,1.2076616,P,8189.193,1,P,6991.173,1.4572257,P,7306.899,0.99999994,P,4234.282,1.1497881,P,6493.229,0.9427478,P,7150.935,0.96072155,P,7172.519,,,,,chr:2032685-2032744,,b1965
A_07_P033816,1,P,3190.131,0.99641114,P,2463.104,1,P,2416.587,1.0442779,P,1809.984,1,P,1148.614,0.87959,P,1347.465,0.7808346,P,1762.455,0.9447877,P,2098.94,,dmsA,Anaerobic dimethyl sulfoxide reductase chain A precursor,,,1038617,c_1031
A_07_P041423,1,P,14563.21,0.7988333,P,9014.651,1,P,11111.83,0.74008155,P,5898.226,1,P,4558.712,0.66878194,P,4066.21,0.7182322,P,6160.732,1.0105493,P,8531.625,,ampD,N-acetyl-anhydromuranmyl-L-alanine amidase,,,1036599,c_0129
A_07_P033812,1,P,5029.067,1.0808108,P,4211.848,1,P,3466.759,1.2636819,P,3142.083,1,P,1774.992,1.0435194,P,2470.359,1.1075134,P,4331.151,1.02222,P,3934.645,,trxB,thioredoxin reductase,,,1038595,c_1025
A_07_P039117,1,P,4899.259,0.6091056,P,2312.377,1,P,2980.454,0.69466877,P,1484.966,1,P,1231.787,0.41094774,P,675.1267,0.7467017,P,1694.924,1.0003959,P,2235.022,,yigB,predicted hydrolase,,,1038182,c_4733
A_07_P039112,1,P,15181.98,0.73187405,P,8609.945,1,P,14110.16,0.62045854,P,6279.151,1,P,7659.594,0.653819,P,6679.231,0.90521514,P,8274.742,0.98004717,P,8817.725,,xerC,site-specific tyrosine recombinase XerC,,,1035725,c_4732
A_07_P019538,1,P,9463.199,1.0329978,P,7574.833,1,P,7525.042,1.012782,P,5466.145,1,P,3858.797,0.7987954,P,4111.03,1.0565283,P,7834.638,1.0491234,P,7657.222,,hscB,DnaJ-like molecular chaperone specific for IscU,GO:0006457(protein folding),chr:2657033-2656974,946995,b2527
A_07_P019531,1,P,12101.48,0.99859726,P,9364.067,1,P,10259.2,0.8779014,P,6459.747,1,P,5221.227,0.80687064,P,5618.749,1.0715456,P,9852.639,0.979232,P,8862.054,,hscA,DnaK-like molecular chaperone specific for IscU,GO:0005737(cytoplasm)|GO:0006457(protein folding),chr:2655231-2655172,944885,b2526
A_07_P015179,1,P,25718.43,0.8960155,P,17856.47,0.99999994,P,22609.33,1.0102985,P,16383.01,1,P,9881.383,0.6018342,P,7931.543,0.6437365,P,11560.85,0.8903512,P,15738.01,,,,,chr:2032393-2032452,,b1964
A_07_P019530,1,P,26114.34,0.7772466,P,15728,1,P,20494.23,0.7847757,P,11535.42,1,P,12916.61,0.5882448,P,10133.74,0.8465222,P,13224.87,0.93017405,P,14302.9,,frwB,predicted enzyme IIB component of PTS,GO:0016052(carbohydrate catabolic process),chr:4141820-4141879,948447,b3950
A_07_P007566,1,P,18709.28,0.72842425,P,10560.32,1,P,14795.33,0.76561433,P,8124.394,1,P,7413.326,0.7726942,P,7639.832,0.6708336,P,7312.46,0.76147336,P,8169.778,,yhjJ,predicted zinc-dependent peptidase,,chr:3678701-3678642,948040,b3527
A_07_P015174,1,P,13453.65,1.1588784,P,12081.3,1,P,8932.006,1.3684301,P,8766.533,1,P,5446.346,1.318124,P,9574.688,1.0203252,P,11753.82,0.9796748,P,11107.83,,yedR,predicted inner membrane protein,,chr:2031462-2031403,946477,b1963
A_07_P007564,1,P,8986.836,0.77294815,P,5382.609,1,P,7704.399,0.77049303,P,4257.589,1,P,3989.493,0.840936,P,4474.492,0.9122493,P,5510.953,0.91068894,P,5414.895,,kdgK,ketodeoxygluconokinase,GO:0016052(carbohydrate catabolic process),chr:3678161-3678220,948041,b3526
A_07_P033808,1,P,9314.04,1.1506703,P,8304.713,1,P,7593.595,1.1411735,P,6215.204,1,P,4517.76,1.1230941,P,6767.096,0.9248033,P,7452.404,0.98876965,P,7842.4,,aat,leucyl/phenylalanyl-tRNA--protein transferase,,,1038609,c_1022
A_07_P041416,1,P,4782.059,0.79363877,P,2940.854,1,P,3867.867,0.66928476,P,1856.687,0.99999994,P,1588.527,0.7326063,P,1552.131,0.775391,P,2256.75,1.0085217,P,2889.048,,,,,,,c_0100
A_07_P033805,1,P,11123.37,1.0423611,P,8984.425,1,P,7778.51,1.2032849,P,6713.069,1,P,4845.228,1.0550221,P,6817.716,1.015397,P,9251.583,1.044964,P,9371.052,,,,,,,c_1020
A_07_P007560,1,P,12751.88,0.78958917,P,7802.092,1,P,12312.32,0.62027544,P,5477.479,0.99999994,P,5802.922,0.8069841,P,6245.61,0.9211142,P,7569.412,0.9390805,P,7595.534,,yhjH,EAL domain containing protein involved in flagellar function,,chr:3676624-3676565,948042,b3525
A_07_P041413,1,P,311.043,0.12964366,P,31.24693,1,P,245.8784,0.2088664,P,36.83369,1,P,78.63516,0.12624636,A,13.24033,0.6910553,P,36.88104,1.0539426,P,55.3623,,leuC,isopropylmalate isomerase large subunit,,,1036454,c_0089
A_07_P039105,1,P,5133.175,0.5784244,P,2300.744,1,P,4118.112,0.5065732,P,1496.224,1,P,1116.422,0.551516,P,821.2013,0.61818033,P,1294.769,1.0076368,P,2077.246,,,,,,,c_4727
A_07_P019522,0.99999994,P,6376.378,0.7187649,P,3551.375,1,P,4671.72,0.7296248,P,2444.74,1,P,2543.398,0.8837311,P,2997.765,0.9452822,P,3750.413,0.7496502,P,2927.407,,frwC,predicted enzyme IIC component of PTS,,chr:4141564-4141623,948448,b3949
A_07_P015168,1,P,16982.9,1.1457661,P,15077.99,1,P,13321.98,1.2791522,P,12222.14,1,P,9110.914,1.088443,P,13226.07,0.92449445,P,13257.31,0.96827286,P,13666.45,,yedJ,predicted phosphohydrolase,,chr:2030954-2030895,946478,b1962
A_07_P041406,1,P,8868.332,0.83685297,P,5750.78,1,P,5656.512,0.97445333,P,3953.357,1,P,2451.697,1.07044,P,3500.195,0.8633024,P,4739.662,1.0163281,P,5491.933,,yaaI,hypothetical protein,,,1037616,c_0017
A_07_P015161,0.99999994,P,14198.89,1.0550216,P,11607.84,1,P,11250.59,0.99718744,P,8046.525,1,P,4292.204,1.0810194,P,6188.38,0.93673867,P,10222.57,1.0437363,P,11210.87,,dcm,DNA cytosine methylase,GO:0005737(cytoplasm)|GO:0006306(DNA methylation),chr:2029381-2029322,946479,b1961
A_07_P007551,1,P,13447.03,0.82117563,P,8556.538,0.99999994,P,11603.15,0.754553,P,6279.455,1,P,5303.546,0.807135,P,5709.205,0.93374383,P,7938.51,0.9046203,P,7569.8,,yhjG,predicted outer membrane biogenesis protein,,chr:3674565-3674506,948043,b3524
A_07_P003199,1,P,13705.75,1.0832111,P,11504.07,1,P,10962.47,1.1240023,P,8837.55,1,P,4381.579,1.0507658,P,6140.443,1.0402366,P,11229.6,1.001622,P,10642.48,,yegR,predicted protein,,chr:2166087-2166028,946613,b2085
A_07_P007550,0.99999994,P,29213.72,0.74323845,P,16824.83,1,P,22721.26,0.785204,P,12795.91,1,P,12562.53,0.72230595,P,12102.12,0.71390337,P,12291.13,0.79965186,P,13550.65,,yhjE,predicted transporter,GO:0009274(peptidoglycan-based cell wall)|GO:0019866(organelle inner membrane),chr:3673578-3673637,948032,b3523
A_07_P041401,1,P,1387.015,0.63170934,P,678.9442,1,P,689.917,1.2730545,P,629.9413,1,P,924.7397,0.6384817,P,787.4646,0.640413,P,601.7185,1.0809705,P,999.6637,,fimF,FimF protein precursor,,,1037237,c_5397
A_07_P041400,1,P,6064.79,0.7018987,P,3298.571,1,P,5049.727,0.53288156,P,1929.989,1,P,1693.998,0.78617597,P,1776.216,0.8527367,P,2702.723,1.004948,P,3134.996,,phnI,PhnI protein,,,1038042,c_5105
A_07_P003195,0.99999994,P,12800.5,1.0946943,P,10858.14,1,P,9957.827,1.1915873,P,8510.336,1,P,4952.688,1.2011697,P,7934.297,0.9058853,P,8842.688,0.973186,P,9350.048,,,,,chr:2165925-2165866,,b2084
A_07_P019517,1,P,19661.89,0.68437195,P,10426.85,1,P,14929.78,0.6725022,P,7201.176,1,P,8300.321,0.7530868,P,8336.871,0.87744534,P,9594.28,0.62091047,P,6682.333,,,,,chr:4140128-4140187,,b3948
A_07_P019511,0.99999994,P,29075.71,0.70869744,P,15967.13,1,P,21690.76,0.71225995,P,11080.76,1,P,10882.44,0.6855072,P,9949.504,0.7824578,P,12071.99,0.91122043,P,13837.2,,ptsA,fused predicted PTS enzymes: Hpr component/enzyme I component/enzyme IIA component,GO:0016052(carbohydrate catabolic process),chr:4138574-4138515,948437,b3947
A_07_P015156,1,P,5854.69,1.076877,P,4885.462,1,P,4082.271,1.0803305,P,3163.113,1,P,1618.208,1.172836,P,2531.248,0.89201206,P,3723.863,1.0477644,P,4305.201,,vsr,DNA mismatch endonuclease of very short patch repair,GO:0006281(DNA repair)|GO:0006308(DNA catabolic process),chr:2028723-2028664,946476,b1960
A_07_P015155,1,P,12203.49,1.0837015,P,10247.77,1,P,9723.173,0.9569354,P,6673.396,1,P,4763.11,0.99562067,P,6324.812,0.8548055,P,7745.814,0.990492,P,8834.003,,yedA,predicted inner membrane protein,GO:0009274(peptidoglycan-based cell wall),chr:2028249-2028308,946461,b1959
A_07_P007545,1,P,20546.85,0.79746765,P,12696.79,0.99999994,P,19863.4,0.69944596,P,9964.695,1,P,10222.08,0.8089079,P,11028.12,0.9575861,P,14323.95,0.9708639,P,14293.88,,yhjD,conserved inner membrane protein,,chr:3672196-3672255,948033,b3522
A_07_P058299,0.99999994,P,1749.57,0.8445991,P,1145.032,1,P,1678.439,0.90094393,P,1084.575,1,P,941.8436,0.95528466,P,1199.982,0.45656517,P,643.064,0.7067785,P,979.8095,,ECs1786,endopeptidase,,,913037,ECs1786
A_07_P052993,1,P,415.9956,0.27564824,P,88.85453,0.99999994,P,603.6929,0.5588586,P,241.9771,1,P,261.3951,0.39076105,P,136.2297,0.2615841,P,66.24123,0.3244269,P,80.86131,,ECs3001,Bet,,,916705,ECs3001
A_07_P003186,1,P,15224.8,1.1204368,P,13218.27,0.99999994,P,11219.49,1.1518066,P,9268.489,1,P,5672.314,1.0834905,P,8196.878,0.9152965,P,10448.68,0.9976829,P,11209.83,,ogrK,DNA-binding transcriptional regulator prophage P2 remnant,,chr:2165500-2165441,945404,b2082
A_07_P003182,1,P,5342.723,1.1114898,P,4601.546,1,P,3727.906,1.1576569,P,3095.288,0.99999994,P,2013.161,0.9455555,P,2538.801,0.9910368,P,3990.113,1.0555512,P,4182.939,,yegQ,predicted peptidase,,chr:2164731-2164790,946609,b2081
A_07_P003180,1,P,2156.932,1.1670918,P,1950.64,1,P,1305.024,1.3824651,P,1293.984,1,P,844.7529,1.4336998,P,1615.292,1.1510079,P,2122.332,1.0639441,P,1930.904,,yegP,predicted protein,,chr:2163407-2163466,947095,b2080
A_07_P019508,0.99999994,P,15237.21,0.77616924,P,9164.263,1,P,11750.68,0.71462315,P,6022.77,1,P,7541.013,0.6759493,P,6798.404,0.9934456,P,9366.344,0.9008392,P,8359.497,,fsaB,fructose-6-phosphate aldolase 2,,chr:4137476-4137417,948439,b3946
A_07_P019501,1,P,18401.92,0.8163468,P,11640.55,1,P,14348.37,0.73981696,P,7613.478,1,P,8199.996,0.7632747,P,8347.523,0.89611006,P,10338.63,0.87704104,P,9959.29,,gldA,"glycerol dehydrogenase, NAD",GO:0006071(glycerol metabolic process),chr:4136142-4136083,948440,b3945
A_07_P015149,1,P,13931.81,1.078377,P,11641.63,1,P,12731.45,0.9013001,P,8230.07,1,P,6540.842,1.1968722,P,10441.06,0.8843108,P,10038.98,0.9807753,P,10958.75,,yedI,conserved inner membrane protein,GO:0009274(peptidoglycan-based cell wall),chr:2026574-2026515,946465,b1958
A_07_P060598,1,P,645.3225,1.3879832,P,694.0594,1,P,827.2841,0.08307194,P,49.29073,0.99999994,P,186.0816,0.9659304,P,239.7245,0.047273833,A,16.09837,0.05969873,A,20.00935,,ECs1504,hypothetical protein,,,912890,ECs1504
A_07_P007536,1,P,31379.81,0.73977286,P,17988.06,1,P,28703.4,0.6690892,P,13774.43,0.99999994,P,11840.38,0.75161654,P,11869.3,0.74405104,P,13590.83,0.896302,P,16114.04,,yhjC,predicted DNA-binding transcriptional regulator,GO:0006350(transcription)|GO:0016563(transcription activator activity)|GO:0016564(transcription repressor activity),chr:3670807-3670866,948035,b3521
A_07_P015144,1,P,12598.12,1.1116387,P,10851.88,1,P,10286.56,0.984516,P,7263.554,1,P,4395.569,0.90839046,P,5325.382,0.7697031,P,7465.851,1.012453,P,9665.8,,yodC,predicted protein,,chr:2026317-2026258,946466,b1957
A_07_P007533,1,P,32794.22,0.7601733,P,19317.26,1,P,30095.99,0.7441253,P,16062.42,1,P,16307.19,0.6883603,P,14971.25,0.83472633,P,17911.66,0.89908886,P,18988.96,,yhjB,predicted DNA-binding response regulator in two-component regulatory system,GO:0006350(transcription)|GO:0016563(transcription activator activity),chr:3669683-3669624,948036,b3520
A_07_P060591,1,P,797.676,0.9703236,P,599.7617,1,P,518.9035,0.39351642,P,146.4555,1,P,305.8429,0.597153,P,243.5831,0.087506406,P,37.19802,0.12923996,P,54.0734,,ECs1503,hypothetical protein,,,912505,ECs1503
A_07_P003174,0.99999994,P,8324.006,1.1976339,P,7724.886,1,P,6635.851,1.0676948,P,5081.594,1,P,3614.289,1.2056051,P,5811.538,1.0017216,P,6989.69,1.0591106,P,7273.761,,baeR,DNA-binding response regulator in two-component regulatory system with BaeS,GO:0005737(cytoplasm)|GO:0006350(transcription)|GO:0016563(transcription activator activity),chr:2162829-2162888,946605,b2079
A_07_P003170,1,P,7684.331,1.1111983,P,6616.575,1,P,5531.8,1.1202997,P,4444.848,1,P,3333.559,1.2096974,P,5378.337,1.069494,P,6685.951,1.0072434,P,6197.636,,baeS,sensory histidine kinase in two-component regulatory system with BaeR,GO:0006464(protein modification process)|GO:0009274(peptidoglycan-based cell wall)|GO:0019866(organelle inner membrane),chr:2162084-2162143,946611,b2078
A_07_P015139,1,P,9854.289,1.097096,P,8377.328,1,P,7922.1875,1.0721673,P,6092.0566,1,P,3935.713,1.1223636,P,5891.4214,1.0314568,P,8480.634,1.037576,P,8396.61,,yedQ,predicted diguanylate cyclase,,chr:2024535-2024476,946471,b1956
A_07_P060587,1,P,306.1377,1.0746136,P,254.9205,1,P,235.6422,0.24288201,P,41.0492,0.99999994,P,40.3223,0.6517344,A,35.04928,0.10679873,A,7.01339,0.15253118,A,9.858875,,ECs1502,putative excisionase,,,912339,ECs1502
A_07_P007526,0.99999994,P,8091.66,0.8664016,P,5432.41,1,P,6492.699,0.8578717,P,3994.881,1,P,3850.678,0.64625674,P,3318.986,0.99343795,P,5404.639,0.85255754,P,4565.165,,treF,cytoplasmic trehalase,GO:0005737(cytoplasm)|GO:0016052(carbohydrate catabolic process),chr:3669109-3669168,948037,b3519
A_07_P007522,1,P,23616.43,0.70343727,P,12872.866,1,P,20749.918,0.70201707,P,10447.69,1,P,9110.081,0.6928629,P,8418.461,0.98264587,P,13832.726,0.9419134,P,13050.542,,yhjA,predicted cytochrome C peroxidase,GO:0017004(cytochrome complex assembly),chr:3666060-3666001,948038,b3518
A_07_P015131,1,P,9649.271,1.0936971,P,8177.625,1,P,7503.436,1.0164472,P,5470.176,1,P,3388.38,1.1534297,P,5212.503,0.9557071,P,7031.003,1.0706277,P,7752.429,,yedP,conserved protein,,chr:2023653-2023712,946472,b1955
A_07_P060582,1,P,1066.843,0.88950145,P,735.3309,1,P,742.2006,0.173589,P,92.40592,0.99999994,P,114.4659,0.49908325,P,76.1925,0.0625011,A,10.61808,0.21547589,A,36.02997,,ECs1501,putative integrase,,,912447,ECs1501
A_07_P058276,1,P,390.8455,0.671942,P,203.5038,1,P,423.6599,1.6692183,P,507.2088,1,P,169.8748,1.7256286,P,390.9664,1.0885357,P,497.4383,1.94723,P,875.8317,,ECs1780,putative DNA methylase,,,913066,ECs1780
A_07_P058272,1,P,1024.102,0.7364095,P,584.3839,1,P,726.5302,1.3009957,P,677.9314,0.99999994,P,365.0244,1.6037754,P,780.7798,0.751069,P,560.6553,1.4236205,P,1045.965,,ECs1779,hypothetical lipoprotein,,,913067,ECs1779
A_07_P003163,1,P,28454.13,1.0014523,P,22080.62,1,P,24719.95,0.88909745,P,15763.52,1,P,12565.58,0.8563184,P,14350.96,0.6801849,P,14706.58,0.8810169,P,18748.9,,mdtD,multidrug efflux system protein,GO:0009274(peptidoglycan-based cell wall)|GO:0019866(organelle inner membrane),chr:2160422-2160481,946601,b2077
A_07_P038698,1,P,11760.73,1.3322399,P,12140.94,1,P,12590.41,1.56822,P,14161.3,1,P,5131.889,1.5963144,P,10925.94,0.88460064,P,9495.017,0.88647634,P,9365.316,,,,,,,c_1608
A_07_P038691,1,P,4625.424,1.1793357,P,4226.926,1,P,3443.718,1.9943315,P,4925.85,1,P,1903.808,0.9756904,P,2477.412,0.9132052,P,3184.864,0.97323394,P,3340.77,,ycgF,Hypothetical protein ycgF,,,1035370,c_1606
A_07_P015127,1,P,11344.72,1.0493668,P,9224.795,1,P,7441.688,1.30871,P,6985.075,1,P,3609.873,0.8544718,P,4113.891,0.9417668,P,7676.511,1.119063,P,8978.047,,yodD,predicted protein,,chr:2023156-2023215,946469,b1953
A_07_P060577,1,P,7410.382,1.2485178,P,7169.204,1,P,7153.563,1.0608625,P,5442.993,1,P,4107.99,1.2376657,P,6781.033,1.0739646,P,8113.305,1.1252146,P,8366.62,,ECs1478,predicted metallodependent hydrolase,,,913835,ECs1478
A_07_P007516,1,P,11739.79,1.0712566,P,9745.172,1,P,8918.666,1.2933916,P,8273.441,1,P,4954.149,1.1678193,P,7716.277,0.98440635,P,8940.111,0.947847,P,8472.539,,gadA,"glutamate decarboxylase A, PLP-dependent",GO:0005737(cytoplasm)|GO:0006520(amino acid metabolic process)|GO:0009063(amino acid catabolic process),chr:3665373-3665314,948027,b3517
A_07_P060575,1,P,657.6155,0.5176523,P,263.7824,1,P,286.8127,0.70124173,P,144.2522,1,P,168.9832,0.9105831,P,205.2231,0.5799406,P,156.8193,0.6113401,P,162.7068,,ECs1420,cryptic curlin major subunit,,,913991,ECs1420
